iter	Passed	Remaining
264	28756	25500
265	28862	25390
266	28975	25286
267	29082	25175
268	29192	25068
269	29316	24973
270	29444	24881
271	29553	24772
272	29649	24653
273	29753	24541
274	29863	24433
275	29984	24335
276	30105	24236
277	30239	24147
278	30372	24058
279	30489	23956
280	30603	23851
281	30711	23741
282	30827	23637
283	30933	23526
284	31043	23418
285	31152	23309
286	31259	23199
287	31369	23091
288	31476	22980
289	31584	22871
290	31681	22754
291	31785	22641
292	31886	22527
293	31988	22413
294	32083	22295
295	32187	22183
296	32287	22068
297	32387	21953
298	32488	21839
299	32584	21722
300	32687	21610
301	32790	21498
302	32892	21385
303	32997	21274
304	33099	21161
305	33201	21049
306	33300	20934
307	33397	20819
308	33513	20715
309	33617	20604
310	33729	20497
311	33930	20445
312	34037	20335
313	34135	20220
314	34230	20103
315	34330	19989
316	34426	19873
317	34530	19762
318	34636	19652
319	34772	19559
320	34880	19450
321	35003	19349
322	35118	19244
323	35222	19133
324	35328	19023
325	35451	18921
326	35577	18822
327	35690	18715
328	35802	18608
329	35906	18497
330	35999	18380
331	36107	18271
332	36220	18164
333	36340	18061
334	36459	17957
335	36570	17849
336	36689	17745
337	36796	17635
338	36896	17523
339	36994	17409
340	37097	17297
341	37211	17191
342	37317	17081
343	37425	16972
344	37541	16866
345	37640	16753
346	37738	16639
347	37854	16534
348	37962	16424
349	38067	16314
350	38165	16201
351	38269	16090
352	38381	15983
353	38476	15868
354	38573	15755
355	38679	15645
356	38778	15533
357	38873	15419
358	38973	15307
359	39079	15197
360	39191	15090
361	39289	14977
362	39386	14865
363	39485	14752
364	39581	14639
365	39676	14526
366	39780	14416
367	39879	14304
368	39985	14195
369	40082	14083
370	40186	13973
371	40281	13860
372	40388	13751
373	40490	13641
374	40594	13531
375	40693	13420
376	40797	13310
377	40893	13198
378	40991	13086
379	41090	12976
380	41190	12865
381	41293	12755
382	41395	12645
383	41499	12536
384	41598	12425
385	41699	12315
386	41804	12206
387	41902	12095
388	41999	11984
389	42097	11873
390	42194	11762
391	42304	11655
392	42420	11549
393	42518	11439
394	42616	11328
395	42706	11215
396	42807	11106
397	42928	11001
398	43049	10897
399	43148	10787
400	43246	10676
401	43347	10567
402	43449	10457
403	43549	10348
404	43653	10239
405	43760	10131
406	43865	10023
407	43969	9914
408	44070	9805
409	44169	9695
410	44268	9586
411	44361	9475
412	44466	9367
413	44566	9257
414	44669	9149
415	44769	9039
416	44864	8929
417	44972	8822
418	45063	8711
419	45170	8603
420	45271	8495
421	45370	8386
422	45467	8276
423	45566	8167
424	45659	8057
425	45766	7949
426	45866	7841
427	45955	7730
428	46058	7622
429	46157	7514
430	46263	7406
431	46364	7298
432	46462	7189
433	46564	7081
434	46658	6972
435	46755	6863
436	46850	6754
437	46946	6645
438	47041	6536
439	47143	6428
440	47239	6320
441	47339	6212
442	47444	6104
443	47542	5996
444	47638	5887
445	47734	5779
446	47836	5671
447	47933	5563
448	48024	5454
449	48125	5347
450	48233	5240
451	48333	5132
452	48434	5025
453	48531	4917
454	48635	4810
455	48780	4706
456	48976	4608
457	49111	4503
458	49228	4397
459	49340	4290
460	49454	4183
461	49557	4076
462	49671	3969
463	49784	3862
464	49899	3755
465	50017	3649
466	50139	3543
467	50260	3436
468	50380	3330
469	50498	3223
470	50609	3116
471	50723	3009
472	50834	2901
473	50937	2794
474	51041	2686
475	51157	2579
476	51274	2472
477	51395	2365
478	51565	2260
479	51685	2153
480	51817	2046
481	51946	1939
482	52067	1832
483	52167	1724
484	52279	1616
485	52400	1509
486	52502	1401
487	52609	1293
488	52704	1185
489	52802	1077
490	52904	969
491	53003	861
492	53096	753
493	53197	646
494	53299	538
495	53404	430
496	53525	323
497	53636	215
498	53736	107
499	53839	0
